Жевательная резинка Картель Ассорти Флора 1/120шт. 10 бл	0,54
Жевательная резинка miMimi 1/120шт./3 гр	0,54
Жевательная резинка Анекдот со вкусом тути-фрути 1/120шт./3 гр	0,54
Жевательная резинка Арсенал со вк.мяты 1/120шт./3 гр	0,54
Жевательная резинка Bubble gum Profi 1/120шт./3 гр	0,57
Жевательная резинка Ассорти 1/120шт./3 гр	0,57
Жевательная резинка Вокруг Света 1/120шт./3 гр	0,57
Жевательная резинка Пираты 1/120шт./3 гр	0,57
Жевательная резинка Приколы из школы 1/120шт./3 гр	0,57
Упаковка шоколадной конфеты	0,59
Жев.резинка "BARCODE KITTIES" 1/10бл.*100шт. 3.5 гр. (83780)	1,19
Жев.резинка "DJ" 1/10бл.*100шт. 4 гр. (84713)	1,19
Жев.резинка "LOVE STORY" 1/10бл.*100шт. 3.5 гр. (84034)	1,19
Жев.резинка "ГОРОДА" 1/10бл.*100шт. 4 гр. (84712)	1,19
Жев.резинка "ГОРОСКОП" 1/10бл.*100шт. 3,5 гр. (84090)	1,19
Жев.резинка "МОТОКРОСС" 1/10бл.*100шт. 3,5 гр. (84065)	1,19
Пакет майка Славянка	1,59
Жевательная резинка Лов ис Ананас-апельсин 1/100шт./50гр	2,07
Жевательная резинка Лов ис Вишня-лимон 1/100шт./50гр	2,07
Жевательная резинка Лов ис Клубника-банан1/100шт./50гр	2,07
Жевательная резинка Лов ис Кокос-ананас 1/100шт./50гр	2,07
Жевательная резинка Лов ис Яблоко-Лимон 1/100шт./50гр	2,07
Тик-Так мята Т4*100*10 шт.	2,96
Чупа-Чупс Мини 1/100 шт.	3,17
Шоко монеты Новогодние 1/500 шт 6гр	3,31
Мишка топтыжка вкус сгущенки 1/140 шт. 25 гр. (печенье)	3,46
Мишка топтышка вкус сгущенки фас 1/25гр печенье)	3,52
Шоко монеты евро 1/120шт 6гр .1/4бл	3,93
Шоко монеты Знаки зодиака 1/120шт 6гр .1/4бл	3,93
Шоко монеты Новогодние 1/120шт 6гр .1/4бл	3,93
Шоко монеты Пиастры 1/120шт 6гр .1/4бл	3,93
Шоко монеты Рубль 1/120шт 6гр .1/4бл	3,93
Шоко монеты Смайлики 1/120шт 6гр .1/4бл	3,93
Шоко монеты Старинные монеты 1/120шт 6гр .1/4бл	3,93
Артек плюс 1/70 шт 18 гр (вафли)	4,07
Аленка вкус любимое молоко 30 гр 1/130 шт (печенье)	4,23
Аленка вкус любимое молоко ш/б 30 гр 1/30шт/4бл (печенье)	4,29
Шоко монеты Старинные монеты 1/8бл.*50шт 6гр . (0022)	4,37
Маша и Медведь 1/120шт 6гр .1/4бл (0302)	4,74
Чупа-Чупс Мороженое 1/100 шт.	4,99
Чупа-Чупс Тропик-экзотик (Ассорти) 1/12бл.*100 шт.	4,99
Чупа-Чупс(фруктовый) 1/100шт.	4,99
Слитки в пласт.баночках 1/80шт/10гр.	5,57
Сливочные 1/154 шт.20 гр. ( вафли )	5,60
Шок.плитки 72% 1/4бл/200 шт. 5 гр. Какао	5,60
Карамель леденцовая Ассорти 1*0,014гр.*54шт. (леденцы)	5,70
Настоящая нуга шоколадная 27 г 1/50 шт (конфеты ) ЭКЕР	5,77
Настоящая нуга ванильная 27 г 1/50 шт (конфеты )	6,03
Аленка вкус любимое молоко ш/б 30 гр 1/30шт/4бл (печенье)	6,05
Слитки россыпью 1/250шт/15гр.	6,11
Настоящая нуга шоколадная 27 г 1/50 шт (конфеты ) ЭКЕР	6,19
Курьез хрустящее лакомство 26гр (40 шт.) (конфеты)	6,23
Настоящая нуга ванильная 27 г 1/50 шт (конфеты )	6,35
Чупа-Чупс малое колесо 25 лет 1/120 шт.	6,42
Детский сувенир 1/48шт. 30гр. (батончики )	6,53
Чупа-Чупс Фруктовый с соком +кола 1/100 шт.	6,53
Чупа-Чупс Космофруктика 1/100 шт.	6,53
Чупа-Чупс Фрукт. +кола 1/100 шт.*12бл.	6,60
Чупа-чупс Ледниковый период 1/12бл.*100 шт.	6,60
Сормовское (земляничка) 50 гр (60 шт.) (печенье)	6,66
Сормовское (сгущ. молоко) 50 гр 60 шт. (печенье)	6,66
Сормовское (сливочное) 50 гр (60 шт.) (печенье)	6,66
Курьез хрустящее лакомство 26гр (40 шт.) (конфеты)	6,68
Чупа-чупс Тропик-экзотик ( ведро ) 1/150 шт.	6,88
Чупа-чупс Ледниковый период ( ведро ) 1/150 шт.	6,89
Лакомка вкус карамельные сливки 30гр. 1/68 шт. (ваф.пирожное)	7,00
Лакомка орех 30гр. 1/68 шт. (ваф.пирожное)	7,00
Раз-два 30 г 48 шт ( конфеты)	7,07
Детский сувенир 1/30шт. 25гр. (шоколад )	7,24
Бином 1/24шт. 50гр.( печенье )	7,38
Бином 1/80шт. 50гр.( печенье )	7,38
Мини-кекс "Сказочный" ваниль 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" вар. сгущенка 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" вишня 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" Карамель 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" клубника 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" шоколадный 1/45 шт. 33,3 гр. РКК	7,41
Мини-кекс "Сказочный" ягодный сбор 1/45 шт. 33,3 гр. РКК	7,41
Детский сувенир 1/30шт. 25гр. (шоколад )	7,49
Леденцовая карамель Зоопарк 1/13гр 50шт (петушок) ТУБУС	7,56
Обожайка бат. глаз с минд со вк крем-брюле 1/25гр х 90шт 2,25кг (вафли)	7,58
Леденцовая карамель "Карусель" 14гр/60шт	7,59
Раз-два 30 г 48 шт ( конфеты)	7,59
Ух-ты 30 г 48 шт ( конфеты)	7,71
Шок.плитки 60% 1*4бл.*90 шт. 12 гр. Какао	7,77
дЖу-дЖу-дЖув медвежата мармел. 1/25гр./70шт. (жев.мармелад)	7,81
дЖу-дЖу-дЖув фрукт.ассорти мармел. 1/25гр./70шт. (жев.мармелад)	7,81
